"Gene"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"ADAMDEC1"	0.0015580099642867	9.46907377312581e-06	1.20813002481206	4.4289550865068	5.35075361855297	31.4121531284328
"APOC3"	0.00161530233790508	1.01433630633798e-05	0.955505620968796	4.41409453467629	4.21769213937084	55.7941383622665
"EPSTI1"	0.00161530233790508	1.0037878914492e-05	0.468302460632987	4.4163558446644	2.06819030908721	1205.68069584502
"SGK2"	0.00161530233790508	1.00380084918529e-05	0.622280451428497	-4.41635305296033	-2.74821017146378	225.941888969548
"MRPS6"	0.00161530233790508	1.0194294070655e-05	0.385928827283166	4.41301073267176	1.70310805684804	1240.68097620256
"IRF7"	0.00163223062506185	1.03842033862343e-05	0.369876502785973	4.40901458219263	1.63079089439377	433.357966533564
"LOC105370504"	0.00170818608528436	1.09884446652239e-05	0.282764659728779	4.39674868925095	1.243245147029	97.7272245993699
"LOC107984830"	0.00170818608528436	1.1041308674222e-05	0.395087251670308	4.39570640880963	1.73668756420616	86.4788391477632
"CYP26B1"	0.00173757840277422	1.13197290083011e-05	0.737876333100584	4.39029441943253	3.23949434744283	699.670067188979
"CCDC9B"	0.00188315954999296	1.25012981012765e-05	0.55294875010007	4.36865691101508	2.41564337856182	651.528648631087
"CSF3"	0.00188315954999296	1.26515197780471e-05	1.655047191857	4.36604712160838	7.22601402813327	15.8615548624745
"RAB31"	0.00188315954999296	1.26178683226414e-05	0.287963440072145	4.36662916588289	1.257429556127	6071.58177774185
"AGT"	0.00190191799659142	1.29493604847595e-05	0.790534933079103	4.36095904583621	3.44749046746084	85.3807419991486
"CRNDE"	0.00190191799659142	1.29711426884798e-05	0.441146945553405	-4.36059133039329	-1.92366154620966	52.1090257688744
"CFHR3"	0.00192989486264225	1.32601693025603e-05	0.802606515727916	4.35576712893983	3.49596707868058	29.3032448694295
"CCL2"	0.00195219066534574	1.35127204034518e-05	1.07813202851622	4.35163317579879	4.69163510318242	1334.56071388697
