GeneID,GSM4928875,GSM4928876,GSM4928877,GSM4928878,GSM4928879,GSM4928880,GSM4928881
2840,1.077,1.02,0.6864,2.048,2.645,1.266,1.942
55339,4.299,4.463,4.055,3.141,3.653,3.359,2.687
84826,1.837,1.619,1.222,1.031,1.508,1.324,0.7655
5433,5.189,4.797,5.432,4.176,4.216,4.762,3.686
83607,8.329,9.395,4.293,5.985,9.647,8.07,6.753
107985944,2.513,2.796,0.2831,0.7456,4.515,2.821,0.4778
79595,4.243,5.476,10.84,2.299,4.167,4.118,2.914
56886,10.31,13.94,10.66,6.91,16.45,8.452,6.929
9394,9.438,16.87,12.74,8.382,9.093,7.712,10.88
105373610,0.02082,0.03989,0,0,0,0,0
105373611,0,0,0,0,0,0,0
101927881,0,0.04027,0,0.03437,0,0,0
151121,0,0,0,0,0.03092,0,0
105373612,0,0,0,0,0,0,0
105373613,0.03257,0.03121,0,0.01332,0,0.02888,0.01669
105373614,0,0,0,0,0,0,0
107985945,0.08769,0,0,0,0,0,0
105373615,0,0,0,0.1298,0.02414,0,0.06506
105373616,0,0.07511,0,0,0.03974,0,0
389033,19.21,17.31,0,13.28,6.871,18.25,2.11
101927924,0.7459,0.513,0,0.09382,0.02909,0.08478,0.03921
100131320,1.902,3.537,0.707,2.53,1.999,1.868,1.395
84084,0.9104,2.288,0.5361,1.562,1.169,0.6483,0.5813
440905,0,0.2815,2.437,3.248,0,0.008984,1.101
728378,0,0.05959,0.1655,0.08476,0,0,0.0425
105373617,0,0,0,0,0,0,0
285103,0.07498,0.09578,0.02494,0.04087,0.152,0.04432,0
91409,2.663,2.944,0.1487,0.8678,1.133,1.634,1.069
55627,10.22,12.88,12.32,7.504,10.91,11.74,10.57
80097,73.71,41.34,19.97,90.98,53.19,97.29,35.54
112714,9.88,1.158,0.03015,7.015,2.803,10.82,7.68
100189418,0,0,0,0,0,0,0
84317,12.35,9.568,5.571,12.19,11.07,14.05,8.914
92856,10.03,7.843,6.484,7.547,7.906,9.001,6.25
26469,33.93,26.96,11.23,19.89,26.26,32.18,21.38
105373618,0.08962,0.09301,0.03726,0.08549,0.07383,0.03973,0.06124
100216479,1.348,2.921,0.1281,1.299,0.6101,1.181,0.2303
646802,0.01901,0.1457,0.1897,0.04664,0,0,0.05847
653269,0,0.006399,0.01999,0.01638,0,0,0.04107
653275,0.08324,0.6645,0,0,0,0.0246,0
646743,0.02058,0,0,0,0.01565,0,0
107985778,0,0,0,0,0,0,0
150527,0.02071,0,0,0,0.01575,0,0
55997,0.06634,0.5932,0,0,0,0.0196,0
653781,0,0.04529,0,0,0,0,0
100132708,0.02038,0.371,0.122,0.03333,0,0,0.04179
344561,0,0,0,0,0,0,0
205147,0.006113,0,0,0,0,0.005419,0
50649,2.902,3.299,4.502,2.66,2.837,2.495,2.319
130074,9.123,10.78,14.74,6.328,9.181,6.262,6.538
55041,23.74,29.28,21.08,26.73,28.07,20.56,21.07
445582,0.01048,0.03011,0.1568,0.06852,0.007966,0.009287,0.04295
112268424,0,0,0,0,0,0,0
440910,0,0.05053,0.2632,0.7547,0.02005,0,0.7028
150786,0.4002,0.4194,0.2371,0.2965,0.409,0.4546,0.3718
112268425,0,0,0,0,0,0,0
389043,0,0,0,0,0,0,0
401010,0.01678,0.01607,0.1172,0.01372,0.01276,0.01487,0
653784,2.597,4.949,2.048,4.857,1.855,2.773,3.045
113457,1.086,1.388,0.1807,0.4194,1.79,4.441,3.031
100616378,5.956,5.706,0.5944,0.487,0.9059,0,3.663
150776,5.824,7.528,4.132,2.891,5.322,6.601,3.562
90557,2.04,2.944,0.1539,0.6887,1.037,1.514,0.5593
440915,0,0,0.02991,0,0,0,0
101927994,0,0,0.06508,0,0,0,0.04011
29798,0.7055,0.4455,0.136,0.8521,0.6218,0.8102,0.6163
408029,0.1385,0.06632,0,0.1415,0.2106,0.2455,0.07096
101928067,0,0,0,0,0,0,0
554226,0,0,0,0,0,0,0.09983
100313824,0,0,0,0,0,0,0
105373622,0,0,0,0,0,0,0
646915,0,0.009608,0,0,0,0,0
339742,0,0,0,0,0.02157,0.02515,0
2863,0.2493,0.4264,0.03553,0.5532,0.1489,0.2999,0.7482
113218485,0,0,0,0,0,0,0
116372,0.1376,0.1758,0.02288,0.3281,0.03488,0.1017,0.3291
105373623,0.006005,0.01726,0,0.007364,0.006849,0.005323,0
344148,0.2391,0.1284,0.07864,0.2298,0.1678,0.1723,0.08885
101928185,0,0,0,0.02192,0,0,0
112268439,0.08326,0.02279,0,0.009725,0.03618,0,0
101928161,0.1727,0,0.1724,0.1412,0.3284,0,0.08853
105373627,0,0,0,0.267,0,0.01158,0.01339
105373628,0.02939,0,0,0.1682,0.05587,0.1433,0.03012
4249,5.552,6.906,10.38,20.73,10.86,7.325,19.65
100500878,0,0.6462,0,0,0,0,0
81615,0.2858,0.1264,0.01097,0.3954,0.3594,0.3021,0.2591
105373629,0,0,0,0.374,0,0.1014,0
130013,0.9609,2.021,0.02965,0.08909,0.8512,0.4918,0.05076
100847069,0,0,0,0,0,0,0
100129961,0.9467,1.063,0.6189,0.5872,0.8688,0.7235,0.5019
905,9.657,8.24,5.458,8.002,7.28,4.018,4.135
80122,0.291,0.07435,0,0.0423,0.02459,0.01147,0
22930,13.13,11.64,10.3,10.43,12.37,10.78,9.398
109616967,0,0,0,0,0,0,0
84083,1.955,1.383,1.299,1.153,1.28,1.164,0.7313
23518,5.447,6.139,2.596,2.47,4.774,3.733,2.627
406915,0,0,0,0,0,0,0
107985946,1.642,2.758,2.369,1.074,2.381,0.6941,1.294
23190,53.1,46.98,42.2,46.62,49.82,38.9,33.13
3938,0.007237,0.01387,0,0.02367,0.005503,0.03208,0.05934
100507600,0,0.0236,0,0,0.03746,0,0
4175,8.298,5.877,10.26,4.426,4.033,6.75,2.893
1615,28.26,20.54,18.43,30.09,15.68,16.19,30.96
101928243,2.851,2.849,2.235,2.131,2.075,1.408,3.632
112268426,0.886,1.21,0.08842,0.4075,0.6316,0.7855,2.032
7852,13.1,28.85,0.8092,3.713,11.83,9.346,29.68
107985947,0.04055,0.0777,0,0,0,0,0
105373633,0,0,0,0,0,0,0
80731,0.01417,0.09503,0,0,0.02694,0,0.007262
105373634,0,0,0,0,0,0,0
101928273,0,0.03377,0,0,0,0,0
3176,30.17,22.89,3.237,17.6,13.02,10.77,7.414
107985948,1.132,1.356,0.2825,0.5401,0.8372,0.1952,0.3224
105373636,0,0.01301,0,0,0,0,0
105373635,0,0,0,0,0.06307,0,0
105373637,0.0283,0.03796,0.07342,0.0509,0.06026,0.04516,0.005801
339745,3.801,2.828,2.35,3.163,2.386,1.368,3.522
11249,0,0,0.06758,0,0,0,0.03471
647012,0,0,0,0,0,0,0
105373639,0,0,0,0,0,0,0
105373640,0,0,0,0,0,0,0
107985821,0,0,0,0,0,0,0
105373643,0,0,0.02112,0,0,0,0
105373641,0,0,0,0.02248,0,0,0
105373644,0,0,0,0,0,0,0
105373645,0,0,0.7466,0.9787,0,0,0.3834
105373647,0,0,0,0,0,0,0
107985822,0,0,0,0,0,0,0
53353,0.224,0.05173,0.01197,0.01308,0.1201,0.01596,0.0082
102465692,0,0,0,0,0,0,0
105373649,0,0,0,0.0386,0.01795,0.08371,0
107985779,0,0,0,0,0,0.003537,0
105373648,0,0,0,0,0,0,0
105373651,0,0,0,0,0,0,0
107985823,0.124,0.475,0,0,0,0.1099,0
105373652,0,0.02335,1.143,0.05977,0.07412,0,0
8942,0.1891,0.5354,3.221,0.4651,0.1998,0.2196,0.6243
55843,2.222,0.9574,0.1065,1.983,1.136,1.342,0.8155
107985949,0.009286,0,0,0,0,0,0
101928361,0.007323,0.007016,0.01461,0.01796,0.01671,0.03895,0
105373654,0.01349,0.004309,0.01346,0,0,0,0
101928386,0.1744,0.1671,0.0435,0.2852,0,0.0773,0.1341
79712,1.903,1.249,0.8033,1.515,1.11,1.115,1.091
9839,7.741,8.454,6.843,6.929,6.006,3.739,6.944
100303491,2.88,2.963,6.173,4.535,1.46,2.08,2.186
101928455,0,0,0,0.08865,0,0,0
105373656,0.936,0.3843,0,0.7653,0.6101,0.2371,0.2741
401014,0.01915,0.05503,0,0.02348,0.007279,0.01697,0
105373663,0,0,0,0,0,0,0
105373662,0,0,0,0,0,0,0
100505498,0.03257,0.05721,0.02167,0.01331,0.07017,0.01444,0.005564
105373664,0,0,0,0,0,0,0
105373665,0,0,0,0,0,0,0
105373666,0,0,0,0,0,0,0
105373667,0,0,0,0,0,0,0
728773,0,0,0.04653,0,0,0,0
105373669,0,0,0,0,0,0,0
105373668,0,0,0,0,0,0,0
107985824,0,0,0,0,0.09012,0,0
92,2.434,1.771,2.598,1.913,2.669,1.526,0.9647
5000,4.094,3.241,2.888,3.56,2.691,2.554,2.358
105373674,0,0,0,0,0,0,0
55777,1.764,2.243,1.211,0.9465,1.507,0.7196,0.7662
105373673,0,0.3212,0,0.2741,0,0,0
26122,6.565,6.281,4.861,4.891,5.172,4.416,4.629
101928526,0,0,0,0,0,0,0
3800,0.09716,0.2135,0.1369,0.03271,0.1304,0.1723,0.09372
